,datetime,time_to_next_eruption,time_since_last_eruption,Wind Speed,RH,Temp,Wind Cumsum
339,1992-05-18 21:51:00+00:00,5880.0,5880.0,1.0,47.0,57.0,232.0
340,1992-05-23 15:21:00+00:00,6300.0,6240.0,3.0,33.0,61.0,8.0
341,1992-05-23 17:06:00+00:00,6120.0,6300.0,0.0,37.0,60.0,0.0
342,1992-05-23 18:48:00+00:00,5580.0,6120.0,1.0,50.0,55.0,2.0
343,1992-05-23 20:21:00+00:00,5880.0,5580.0,3.0,58.0,53.0,3.0
344,1992-05-23 21:59:00+00:00,5760.0,5880.0,3.0,60.0,50.0,3.0
345,1992-05-23 23:35:00+00:00,6000.0,5760.0,1.0,63.0,47.0,2.0
346,1992-05-24 01:15:00+00:00,6000.0,6000.0,1.0,67.0,43.0,1.0
347,1992-05-24 02:55:00+00:00,12180.0,6000.0,7.0,33.0,64.0,20.0
348,1992-05-24 14:47:00+00:00,5700.0,6240.0,5.0,35.0,65.0,11.0
349,1992-05-24 16:22:00+00:00,5760.0,5700.0,7.0,33.0,63.0,7.0
350,1992-05-24 17:58:00+00:00,5580.0,5760.0,6.0,37.0,57.0,13.0
351,1992-05-24 19:31:00+00:00,5820.0,5580.0,5.0,50.0,49.0,12.0
352,1992-05-24 21:08:00+00:00,5760.0,5820.0,3.0,53.0,47.0,3.0
353,1992-05-24 22:44:00+00:00,5820.0,5760.0,1.0,60.0,44.0,3.0
354,1992-05-25 00:21:00+00:00,11820.0,5820.0,3.0,30.0,59.0,18.0
355,1992-05-25 13:36:00+00:00,6120.0,6000.0,0.0,39.0,60.0,1.0
356,1992-05-25 15:18:00+00:00,6000.0,6120.0,6.0,22.0,65.0,6.0
357,1992-05-25 16:58:00+00:00,5280.0,6000.0,3.0,28.0,62.0,10.0
358,1992-05-25 18:26:00+00:00,5700.0,5280.0,8.0,32.0,56.0,13.0
359,1992-05-25 20:01:00+00:00,5400.0,5700.0,8.0,76.0,46.0,54.0
360,1992-05-26 18:39:00+00:00,6000.0,11220.0,3.0,65.0,47.0,37.0
361,1992-05-27 16:25:00+00:00,5700.0,5700.0,2.0,48.0,52.0,36.0
362,1992-05-28 16:58:00+00:00,5760.0,5700.0,5.0,44.0,52.0,5.0
363,1992-05-28 18:34:00+00:00,5760.0,5760.0,0.0,57.0,46.0,0.0
364,1992-05-28 20:10:00+00:00,5460.0,5760.0,2.0,64.0,42.0,2.0
365,1992-05-28 21:41:00+00:00,11760.0,5460.0,0.0,72.0,37.0,2.0
366,1992-05-29 00:57:00+00:00,5640.0,11760.0,0.0,75.0,35.0,1.0
367,1992-05-29 02:31:00+00:00,6240.0,5640.0,2.0,63.0,47.0,50.0
368,1992-05-29 17:56:00+00:00,12180.0,12240.0,0.0,82.0,40.0,1.0
369,1992-05-29 21:19:00+00:00,5940.0,12180.0,1.0,52.0,53.0,18.0
370,1992-05-30 15:37:00+00:00,5880.0,6420.0,3.0,34.0,56.0,6.0
371,1992-05-30 17:15:00+00:00,5700.0,5880.0,5.0,39.0,53.0,69.0
372,1992-05-31 15:00:00+00:00,11880.0,6120.0,5.0,44.0,49.0,24.0
373,1992-05-31 18:18:00+00:00,5640.0,11880.0,5.0,44.0,47.0,5.0
374,1992-05-31 19:52:00+00:00,5340.0,5640.0,2.0,35.0,58.0,28.0
375,1992-06-01 17:08:00+00:00,5820.0,5700.0,1.0,35.0,57.0,1.0
376,1992-06-01 18:45:00+00:00,5520.0,5820.0,1.0,45.0,57.0,19.0
377,1992-06-02 14:34:00+00:00,6120.0,6240.0,0.0,52.0,56.0,1.0
378,1992-06-02 16:16:00+00:00,6120.0,6120.0,13.0,40.0,60.0,13.0
379,1992-06-02 17:58:00+00:00,5820.0,6120.0,2.0,65.0,48.0,13.0
380,1992-06-02 19:35:00+00:00,6000.0,5820.0,3.0,73.0,45.0,4.0
381,1992-06-02 21:15:00+00:00,5940.0,6000.0,3.0,27.0,54.0,63.0
382,1992-06-03 19:08:00+00:00,6420.0,5640.0,1.0,28.0,52.0,1.0
383,1992-06-03 20:55:00+00:00,6180.0,6420.0,7.0,55.0,46.0,108.0
384,1992-06-04 21:56:00+00:00,6240.0,5640.0,2.0,82.0,34.0,81.0
385,1992-06-05 22:14:00+00:00,5940.0,5460.0,2.0,82.0,32.0,2.0
386,1992-06-05 23:53:00+00:00,5160.0,5940.0,1.0,82.0,32.0,2.0
387,1992-06-06 01:19:00+00:00,5940.0,5160.0,3.0,60.0,44.0,54.0
388,1992-06-06 21:27:00+00:00,6000.0,6420.0,0.0,67.0,40.0,2.0
389,1992-06-06 23:07:00+00:00,5820.0,6000.0,2.0,56.0,50.0,21.0
390,1992-06-07 12:21:00+00:00,6000.0,5940.0,0.0,56.0,54.0,1.0
391,1992-06-07 14:01:00+00:00,6300.0,6000.0,1.0,57.0,56.0,1.0
392,1992-06-07 15:46:00+00:00,5760.0,6300.0,0.0,52.0,54.0,0.0
393,1992-06-07 17:22:00+00:00,6060.0,5760.0,5.0,40.0,57.0,7.0
394,1992-06-07 19:03:00+00:00,5820.0,6060.0,5.0,46.0,52.0,5.0
395,1992-06-07 20:40:00+00:00,5880.0,5820.0,2.0,58.0,45.0,2.0
396,1992-06-07 22:18:00+00:00,6000.0,5880.0,2.0,62.0,42.0,2.0
397,1992-06-07 23:58:00+00:00,5880.0,6000.0,0.0,47.0,61.0,19.0
398,1992-06-08 15:03:00+00:00,5940.0,5880.0,7.0,40.0,59.0,7.0
399,1992-06-08 16:42:00+00:00,11520.0,5940.0,6.0,52.0,54.0,22.0
400,1992-06-08 19:54:00+00:00,5820.0,11520.0,1.0,60.0,47.0,6.0
